Messstelle;x-Koord.;y-Koord.;4um-Open;4um-Steg;6um-Open;6um-Steg;8um-Open;8um-Steg
1;26614;60923;4.127;3.844;6.151;5.795;8.212;7.804
2;61113;27424;4.125;3.87;6.129;5.831;8.155;7.837
3;61113;-27075;4.078;3.905;6.073;5.847;8.109;7.903
4;26614;-60574;4.117;3.883;6.149;5.804;8.228;7.787
5;-26384;-60573;4.134;3.821;6.136;5.864;8.167;7.85
6;-60885;-27072;4.115;3.895;6.163;5.842;8.17;7.847
7;-60885;27426;4.115;3.855;6.185;5.833;8.175;7.826
8;-26386;60924;4.055;3.903;6.074;5.889;8.121;7.891
