Messstelle;x-Koord.;y-Koord.;4um-Open;4um-Steg;6um-Open;6um-Steg;8um-Open;8um-Steg
1;26614;60923;4.127;3.839;6.145;5.796;8.21;7.798
2;61113;27424;4.09;3.91;6.092;5.882;8.12;7.867
3;61113;-27074;4.091;3.873;6.103;5.833;8.099;7.905
4;26614;-60574;4.122;3.862;6.167;5.795;8.237;7.776
5;-26384;-60574;4.134;3.814;6.156;5.871;8.194;7.835
6;-60885;-27073;4.126;3.862;6.184;5.821;8.181;7.839
7;-60885;27426;4.141;3.842;6.188;5.807;8.191;7.821
8;-26386;60924;4.09;3.866;6.141;5.871;8.168;7.871
